REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,CYEL00T00,CYE2,1,2021,0.988
REGION1,CZEL00T00,CZE2,1,2021,0.9854999999999999
REGION1,DEEL00T00,DEE2,1,2021,0.9802
REGION1,DKEL00T00,DKE2,1,2021,0.975
REGION1,EEEL00T00,EEE2,1,2021,0.9702
REGION1,GREL00T00,GRE2,1,2021,0.9686
REGION1,ESEL00T00,ESE2,1,2021,0.9817
REGION1,FIEL00T00,FIE2,1,2021,0.9795999999999999
REGION1,FREL00T00,FRE2,1,2021,0.977
REGION1,HREL00T00,HRE2,1,2021,0.9802
REGION1,HUEL00T00,HUE2,1,2021,0.99
REGION1,IEEL00T00,IEE2,1,2021,0.9868000000000001
REGION1,ITEL00T00,ITE2,1,2021,0.9803000000000001
REGION1,LTEL00T00,LTE2,1,2021,0.9692000000000001
REGION1,LUEL00T00,LUE2,1,2021,0.975
REGION1,LVEL00T00,LVE2,1,2021,0.9793999999999999
REGION1,MTEL00T00,MTE2,1,2021,0.975
REGION1,NLEL00T00,NLE2,1,2021,0.9852
REGION1,NOEL00T00,NOE2,1,2021,0.9643
REGION1,PLEL00T00,PLE2,1,2021,0.9843999999999999
REGION1,PTEL00T00,PTE2,1,2021,0.981
REGION1,ROEL00T00,ROE2,1,2021,0.978
REGION1,SEEL00T00,SEE2,1,2021,0.9604
REGION1,SIEL00T00,SIE2,1,2021,0.983
REGION1,SKEL00T00,SKE2,1,2021,0.9901000000000001
REGION1,UKEL00T00,UKE2,1,2021,0.98
REGION1,ATEL00D00,ATE3,1,2021,0.9718000000000001
REGION1,BEEL00D00,BEE3,1,2021,0.9512999999999999
REGION1,BGEL00D00,BGE3,1,2021,0.9255
REGION1,CHEL00D00,CHE3,1,2021,0.9734
REGION1,CYEL00D00,CYE3,1,2021,0.9804999999999999
REGION1,CZEL00D00,CZE3,1,2021,0.9578
REGION1,DEEL00D00,DEE3,1,2021,0.9207
REGION1,DKEL00D00,DKE3,1,2021,0.96
REGION1,EEEL00D00,EEE3,1,2021,0.9601999999999999
REGION1,GREL00D00,GRE3,1,2021,0.888
REGION1,ESEL00D00,ESE3,1,2021,0.9071000000000001
REGION1,FIEL00D00,FIE3,1,2021,0.9723999999999999
REGION1,FREL00D00,FRE3,1,2021,0.9379000000000001
REGION1,HREL00D00,HRE3,1,2021,0.9292
REGION1,HUEL00D00,HUE3,1,2021,0.9415
REGION1,IEEL00D00,IEE3,1,2021,0.9326000000000001
REGION1,ITEL00D00,ITE3,1,2021,0.96
REGION1,LTEL00D00,LTE3,1,2021,0.9494
REGION1,LUEL00D00,LUE3,1,2021,0.96
REGION1,LVEL00D00,LVE3,1,2021,0.9628
REGION1,MTEL00D00,MTE3,1,2021,0.96
REGION1,NLEL00D00,NLE3,1,2021,0.9540000000000001
REGION1,NOEL00D00,NOE3,1,2021,0.9741
REGION1,PLEL00D00,PLE3,1,2021,0.9593
REGION1,PTEL00D00,PTE3,1,2021,0.9155
REGION1,ROEL00D00,ROE3,1,2021,0.9078999999999999
REGION1,SEEL00D00,SEE3,1,2021,0.9682999999999999
