REGION,FUEL,YEAR,VALUE
REGION1,FIE3,2025,314.285
REGION1,FRE3,2025,1695.582
REGION1,DEE3,2025,1953.354
REGION1,GRE3,2025,196.781
REGION1,HUE3,2025,157.638
REGION1,IEE3,2025,125.801
REGION1,ITE3,2025,1173.405
REGION1,LVE3,2025,26.422
REGION1,LTE3,2025,43.597
REGION1,LUE3,2025,25.117
REGION1,MTE3,2025,11.013
REGION1,NLE3,2025,424.348
REGION1,NOE3,2025,523.353
REGION1,PLE3,2025,539.379
REGION1,PTE3,2025,198.972
REGION1,ROE3,2025,162.915
REGION1,SKE3,2025,87.195
REGION1,SIE3,2025,49.72
REGION1,ESE3,2025,917.364
REGION1,SEE3,2025,501.964
REGION1,CHE3,2025,268.709
REGION1,UKE3,2025,1379.605
REGION1,DZE3,2025,307.08
REGION1,AOE3,2025,67.891
REGION1,BJE3,2025,4.343
REGION1,BWE3,2025,14.833
REGION1,BFE3,2025,7.903
REGION1,BIE3,2025,0.968
REGION1,CME3,2025,22.52
REGION1,CFE3,2025,0.295
REGION1,TDE3,2025,0.771
REGION1,CDE3,2025,53.552
REGION1,CIE3,2025,28.191
REGION1,DJE3,2025,1.912
REGION1,EGE3,2025,885.276
REGION1,GQE3,2025,4.535
REGION1,ERE3,2025,0.96
REGION1,ETE3,2025,60.116
REGION1,GAE3,2025,7.078
REGION1,GME3,2025,1.124
REGION1,GHE3,2025,51.38
REGION1,GNE3,2025,8.083
REGION1,GWE3,2025,0.513
REGION1,KEE3,2025,46.125
REGION1,LSE3,2025,3.215
REGION1,LRE3,2025,0.937
REGION1,LYE3,2025,117.135
REGION1,MWE3,2025,6.451
REGION1,MLE3,2025,9.476
REGION1,MRE3,2025,4.938
REGION1,MAE3,2025,205.817
REGION1,MZE3,2025,29.175
REGION1,NAE3,2025,12.161
REGION1,NEE3,2025,4.09
REGION1,NGE3,2025,142.836
REGION1,CGE3,2025,5.642
REGION1,RWE3,2025,2.709
REGION1,SNE3,2025,19.913
REGION1,SLE3,2025,1.002
REGION1,SOE3,2025,1.456
REGION1,ZAE3,2025,714.813
REGION1,SSE3,2025,1.505
REGION1,SDE3,2025,38.833
REGION1,SZE3,2025,5.115
REGION1,TZE3,2025,17.793
REGION1,TGE3,2025,5.068
REGION1,TNE3,2025,115.588
REGION1,UGE3,2025,11.551
REGION1,ZME3,2025,51.775
REGION1,ZWE3,2025,34.646
REGION1,ATE3,2026,270.394
REGION1,BEE3,2026,324.125
REGION1,BGE3,2026,118.32
REGION1,HRE3,2026,62.569
REGION1,CYE3,2026,18.714
REGION1,CZE3,2026,225.83
REGION1,DKE3,2026,129.571
REGION1,EEE3,2026,30.236
REGION1,FIE3,2026,325.436
REGION1,FRE3,2026,1755.742
REGION1,DEE3,2026,2022.66
REGION1,GRE3,2026,203.763
REGION1,HUE3,2026,159.251
REGION1,IEE3,2026,130.265
REGION1,ITE3,2026,1215.038
REGION1,LVE3,2026,27.36
REGION1,LTE3,2026,45.144
REGION1,LUE3,2026,26.008
REGION1,MTE3,2026,11.404
REGION1,NLE3,2026,439.405
REGION1,NOE3,2026,541.922
REGION1,PLE3,2026,544.899
REGION1,PTE3,2026,206.031
REGION1,ROE3,2026,164.583
REGION1,SKE3,2026,88.088
REGION1,SIE3,2026,50.229
REGION1,ESE3,2026,949.913
REGION1,SEE3,2026,519.774
REGION1,CHE3,2026,278.243
REGION1,UKE3,2026,1428.554
REGION1,DZE3,2026,337.817
REGION1,AOE3,2026,76.838
REGION1,BJE3,2026,4.841
REGION1,BWE3,2026,16.796
REGION1,BFE3,2026,8.81
REGION1,BIE3,2026,1.063
REGION1,CME3,2026,24.99
REGION1,CFE3,2026,0.328
REGION1,TDE3,2026,0.855
REGION1,CDE3,2026,65.476
REGION1,CIE3,2026,31.427
REGION1,DJE3,2026,2.099
REGION1,EGE3,2026,941.328
REGION1,GQE3,2026,5.033
REGION1,ERE3,2026,1.054
REGION1,ETE3,2026,69.12
REGION1,GAE3,2026,7.854
REGION1,GME3,2026,1.253
REGION1,GHE3,2026,57.277
REGION1,GNE3,2026,9.01
REGION1,GWE3,2026,0.572
REGION1,KEE3,2026,50.131
REGION1,LSE3,2026,3.64
REGION1,LRE3,2026,1.045
REGION1,LYE3,2026,123.462
REGION1,MWE3,2026,7.304
REGION1,MLE3,2026,10.563
REGION1,MRE3,2026,5.504
REGION1,MAE3,2026,219.608
REGION1,MZE3,2026,32.623
REGION1,NAE3,2026,13.77
REGION1,NEE3,2026,4.56
REGION1,NGE3,2026,155.774
REGION1,CGE3,2026,6.261
REGION1,RWE3,2026,2.974
REGION1,SNE3,2026,22.199
REGION1,SLE3,2026,1.117
REGION1,SOE3,2026,1.598
REGION1,ZAE3,2026,737.624
REGION1,SSE3,2026,1.652
REGION1,SDE3,2026,42.632
REGION1,SZE3,2026,5.792
REGION1,TZE3,2026,19.896
REGION1,TGE3,2026,5.65
REGION1,TNE3,2026,120.628
REGION1,UGE3,2026,12.681
REGION1,ZME3,2026,58.625
REGION1,ZWE3,2026,39.229
REGION1,ATE3,2027,279.659
REGION1,BEE3,2027,335.231
REGION1,BGE3,2027,119.518
REGION1,HRE3,2027,63.203
REGION1,CYE3,2027,18.903
REGION1,CZE3,2027,228.118
REGION1,DKE3,2027,134.01
REGION1,EEE3,2027,31.272
REGION1,FIE3,2027,336.587
REGION1,FRE3,2027,1815.902
REGION1,DEE3,2027,2091.965
REGION1,GRE3,2027,210.745
REGION1,HUE3,2027,160.865
REGION1,IEE3,2027,134.728
REGION1,ITE3,2027,1256.671
REGION1,LVE3,2027,28.297
REGION1,LTE3,2027,46.69
REGION1,LUE3,2027,26.899
REGION1,MTE3,2027,11.795
REGION1,NLE3,2027,454.461
REGION1,NOE3,2027,560.49
REGION1,PLE3,2027,550.419
REGION1,PTE3,2027,213.091
REGION1,ROE3,2027,166.25
REGION1,SKE3,2027,88.98
REGION1,SIE3,2027,50.738
REGION1,ESE3,2027,982.461
REGION1,SEE3,2027,537.584
REGION1,CHE3,2027,287.777
REGION1,UKE3,2027,1477.502
REGION1,DZE3,2027,368.554
REGION1,AOE3,2027,85.784
REGION1,BJE3,2027,5.34
REGION1,BWE3,2027,18.758
REGION1,BFE3,2027,9.718
REGION1,BIE3,2027,1.157
REGION1,CME3,2027,27.46
REGION1,CFE3,2027,0.36
REGION1,TDE3,2027,0.94
REGION1,CDE3,2027,77.4
REGION1,CIE3,2027,34.663
REGION1,DJE3,2027,2.286
REGION1,EGE3,2027,997.38
REGION1,GQE3,2027,5.53
REGION1,ERE3,2027,1.148
REGION1,ETE3,2027,78.124
REGION1,GAE3,2027,8.63
REGION1,GME3,2027,1.382
REGION1,GHE3,2027,63.174
REGION1,GNE3,2027,9.938
REGION1,GWE3,2027,0.631
REGION1,KEE3,2027,54.138
REGION1,LSE3,2027,4.066
REGION1,LRE3,2027,1.152
REGION1,LYE3,2027,129.789
REGION1,MWE3,2027,8.158
REGION1,MLE3,2027,11.651
REGION1,MRE3,2027,6.071
REGION1,MAE3,2027,233.399
REGION1,MZE3,2027,36.072
REGION1,NAE3,2027,15.379
REGION1,NEE3,2027,5.029
REGION1,NGE3,2027,168.712
REGION1,CGE3,2027,6.88
REGION1,RWE3,2027,3.239
REGION1,SNE3,2027,24.484
REGION1,SLE3,2027,1.232
REGION1,SOE3,2027,1.741
REGION1,ZAE3,2027,760.434
REGION1,SSE3,2027,1.799
REGION1,SDE3,2027,46.432
REGION1,SZE3,2027,6.468
REGION1,TZE3,2027,21.999
REGION1,TGE3,2027,6.231
REGION1,TNE3,2027,125.669
REGION1,UGE3,2027,13.811
REGION1,ZME3,2027,65.474
REGION1,ZWE3,2027,43.812
REGION1,ATE3,2028,288.924
REGION1,BEE3,2028,346.337
REGION1,BGE3,2028,120.717
REGION1,HRE3,2028,63.837
REGION1,CYE3,2028,19.093
REGION1,CZE3,2028,230.406
REGION1,DKE3,2028,138.45
REGION1,EEE3,2028,32.308
REGION1,FIE3,2028,347.738
REGION1,FRE3,2028,1876.062
REGION1,DEE3,2028,2161.271
REGION1,GRE3,2028,217.726
REGION1,HUE3,2028,162.478
REGION1,IEE3,2028,139.192
REGION1,ITE3,2028,1298.303
REGION1,LVE3,2028,29.234
REGION1,LTE3,2028,48.237
REGION1,LUE3,2028,27.791
REGION1,MTE3,2028,12.186
REGION1,NLE3,2028,469.517
REGION1,NOE3,2028,579.059
REGION1,PLE3,2028,555.939
REGION1,PTE3,2028,220.15
REGION1,ROE3,2028,167.917
REGION1,SKE3,2028,89.872
REGION1,SIE3,2028,51.247
REGION1,ESE3,2028,1015.009
REGION1,SEE3,2028,555.394
REGION1,CHE3,2028,297.311
REGION1,UKE3,2028,1526.451
REGION1,DZE3,2028,399.291
REGION1,AOE3,2028,94.731
REGION1,BJE3,2028,5.838
REGION1,BWE3,2028,20.72
REGION1,BFE3,2028,10.625
REGION1,BIE3,2028,1.252
REGION1,CME3,2028,29.93
REGION1,CFE3,2028,0.392
REGION1,TDE3,2028,1.025
REGION1,CDE3,2028,89.324
REGION1,CIE3,2028,37.898
REGION1,DJE3,2028,2.473
REGION1,EGE3,2028,1053.433
REGION1,GQE3,2028,6.027
REGION1,ERE3,2028,1.242
REGION1,ETE3,2028,87.128
REGION1,GAE3,2028,9.406
REGION1,GME3,2028,1.512
