REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION1,GRE3,S1P2,2021,0.113912915166531
REGION1,GRE3,S1P3,2021,0.0474694235981631
REGION1,GRE3,S1P4,2021,0.0273937458464985
REGION1,GRE3,S2P1,2021,0.0575606795657816
REGION1,GRE3,S2P2,2021,0.0997201234412748
REGION1,GRE3,S2P3,2021,0.0411314286176816
REGION1,GRE3,S2P4,2021,0.0239525999460765
REGION1,GRE3,S3P1,2021,0.0730192013616344
REGION1,GRE3,S3P2,2021,0.141407672057676
REGION1,GRE3,S3P3,2021,0.0504870332480221
REGION1,GRE3,S3P4,2021,0.0313543330882341
REGION1,GRE3,S4P1,2021,0.0583045575120482
REGION1,GRE3,S4P2,2021,0.108760075533204
REGION1,GRE3,S4P3,2021,0.0404433736044108
REGION1,GRE3,S4P4,2021,0.0241616460240914
REGION1,ESE3,S1P1,2021,0.0635595248925706
REGION1,ESE3,S1P2,2021,0.116069555699538
REGION1,ESE3,S1P3,2021,0.050710374522435
REGION1,ESE3,S1P4,2021,0.0323956448332804
REGION1,ESE3,S2P1,2021,0.0603506237684418
REGION1,ESE3,S2P2,2021,0.101240333423689
REGION1,ESE3,S2P3,2021,0.0431304891133281
REGION1,ESE3,S2P4,2021,0.0280287121259037
REGION1,ESE3,S3P1,2021,0.0661574238361696
REGION1,ESE3,S3P2,2021,0.116352477030982
REGION1,ESE3,S3P3,2021,0.0480278821010544
REGION1,ESE3,S3P4,2021,0.0316113995317947
REGION1,ESE3,S4P1,2021,0.0612992989338426
REGION1,ESE3,S4P2,2021,0.106489086193786
REGION1,ESE3,S4P3,2021,0.0457571489511257
REGION1,ESE3,S4P4,2021,0.0288200250420557
REGION1,FIE3,S1P1,2021,0.0804008814208362
REGION1,FIE3,S1P2,2021,0.123802878158105
REGION1,FIE3,S1P3,2021,0.0491554506509407
REGION1,FIE3,S1P4,2021,0.0347380179871474
REGION1,FIE3,S2P1,2021,0.0714819636289551
REGION1,FIE3,S2P2,2021,0.106150152941587
REGION1,FIE3,S2P3,2021,0.0424171392277982
REGION1,FIE3,S2P4,2021,0.0297740972031993
REGION1,FIE3,S3P1,2021,0.0570407265965478
