REGION,EMISSION,YEAR,VALUE
REGION1,NOCO2,2027,9999.0
REGION1,PLCO2,2027,9999.0
REGION1,PTCO2,2027,9999.0
REGION1,ROCO2,2027,9999.0
REGION1,RWCO2,2027,9999.0
REGION1,SDCO2,2027,9999.0
REGION1,SECO2,2027,9999.0
REGION1,SICO2,2027,9999.0
REGION1,SKCO2,2027,9999.0
REGION1,SLCO2,2027,9999.0
REGION1,SNCO2,2027,9999.0
REGION1,SOCO2,2027,9999.0
REGION1,SSCO2,2027,9999.0
REGION1,SZCO2,2027,9999.0
REGION1,TDCO2,2027,9999.0
REGION1,TGCO2,2027,9999.0
REGION1,TNCO2,2027,9999.0
REGION1,TZCO2,2027,9999.0
REGION1,UGCO2,2027,9999.0
REGION1,UKCO2,2027,9999.0
REGION1,ZACO2,2027,9999.0
REGION1,ZMCO2,2027,9999.0
REGION1,ZWCO2,2027,9999.0
REGION1,AOCO2,2028,9999.0
REGION1,ATCO2,2028,9999.0
REGION1,BECO2,2028,9999.0
REGION1,BFCO2,2028,9999.0
REGION1,BGCO2,2028,9999.0
REGION1,BICO2,2028,9999.0
REGION1,BJCO2,2028,9999.0
REGION1,BWCO2,2028,9999.0
REGION1,CDCO2,2028,9999.0
REGION1,CFCO2,2028,9999.0
REGION1,CGCO2,2028,9999.0
REGION1,CHCO2,2028,9999.0
REGION1,CICO2,2028,9999.0
REGION1,CMCO2,2028,9999.0
REGION1,CYCO2,2028,9999.0
REGION1,CZCO2,2028,9999.0
REGION1,DECO2,2028,9999.0
REGION1,DJCO2,2028,9999.0
REGION1,DKCO2,2028,9999.0
REGION1,DZCO2,2028,9999.0
REGION1,EECO2,2028,9999.0
REGION1,EGCO2,2028,9999.0
REGION1,ERCO2,2028,9999.0
REGION1,ESCO2,2028,9999.0
REGION1,ETCO2,2028,9999.0
REGION1,FICO2,2028,9999.0
REGION1,FRCO2,2028,9999.0
REGION1,GACO2,2028,9999.0
REGION1,GHCO2,2028,9999.0
REGION1,GMCO2,2028,9999.0
REGION1,GNCO2,2028,9999.0
REGION1,GQCO2,2028,9999.0
REGION1,GRCO2,2028,9999.0
REGION1,GWCO2,2028,9999.0
REGION1,HRCO2,2028,9999.0
REGION1,HUCO2,2028,9999.0
REGION1,IECO2,2028,9999.0
REGION1,ITCO2,2028,9999.0
REGION1,KECO2,2028,9999.0
REGION1,LRCO2,2028,9999.0
REGION1,LSCO2,2028,9999.0
REGION1,LTCO2,2028,9999.0
REGION1,LUCO2,2028,9999.0
REGION1,LVCO2,2028,9999.0
REGION1,LYCO2,2028,9999.0
REGION1,MACO2,2028,9999.0
REGION1,MLCO2,2028,9999.0
REGION1,MRCO2,2028,9999.0
REGION1,MTCO2,2028,9999.0
REGION1,MWCO2,2028,9999.0
REGION1,MZCO2,2028,9999.0
REGION1,NACO2,2028,9999.0
REGION1,NECO2,2028,9999.0
REGION1,NGCO2,2028,9999.0
REGION1,NLCO2,2028,9999.0
REGION1,NOCO2,2028,9999.0
REGION1,PLCO2,2028,9999.0
REGION1,PTCO2,2028,9999.0
REGION1,ROCO2,2028,9999.0
REGION1,RWCO2,2028,9999.0
REGION1,SDCO2,2028,9999.0
REGION1,SECO2,2028,9999.0
REGION1,SICO2,2028,9999.0
REGION1,SKCO2,2028,9999.0
REGION1,SLCO2,2028,9999.0
REGION1,SNCO2,2028,9999.0
REGION1,SOCO2,2028,9999.0
REGION1,SSCO2,2028,9999.0
REGION1,SZCO2,2028,9999.0
REGION1,TDCO2,2028,9999.0
REGION1,TGCO2,2028,9999.0
REGION1,TNCO2,2028,9999.0
REGION1,TZCO2,2028,9999.0
REGION1,UGCO2,2028,9999.0
REGION1,UKCO2,2028,9999.0
REGION1,ZACO2,2028,9999.0
REGION1,ZMCO2,2028,9999.0
REGION1,ZWCO2,2028,9999.0
REGION1,AOCO2,2029,9999.0
REGION1,ATCO2,2029,9999.0
REGION1,BECO2,2029,9999.0
REGION1,BFCO2,2029,9999.0
REGION1,BGCO2,2029,9999.0
REGION1,BICO2,2029,9999.0
REGION1,BJCO2,2029,9999.0
REGION1,BWCO2,2029,9999.0
REGION1,CDCO2,2029,9999.0
REGION1,CFCO2,2029,9999.0
REGION1,CGCO2,2029,9999.0
REGION1,CHCO2,2029,9999.0
REGION1,CICO2,2029,9999.0
REGION1,CMCO2,2029,9999.0
REGION1,CYCO2,2029,9999.0
REGION1,CZCO2,2029,9999.0
REGION1,DECO2,2029,9999.0
REGION1,DJCO2,2029,9999.0
REGION1,DKCO2,2029,9999.0
REGION1,DZCO2,2029,9999.0
REGION1,EECO2,2029,9999.0
REGION1,EGCO2,2029,9999.0
REGION1,ERCO2,2029,9999.0
REGION1,ESCO2,2029,9999.0
REGION1,ETCO2,2029,9999.0
REGION1,FICO2,2029,9999.0
REGION1,FRCO2,2029,9999.0
REGION1,GACO2,2029,9999.0
REGION1,GHCO2,2029,9999.0
REGION1,GMCO2,2029,9999.0
REGION1,GNCO2,2029,9999.0
REGION1,GQCO2,2029,9999.0
REGION1,GRCO2,2029,9999.0
REGION1,GWCO2,2029,9999.0
REGION1,HRCO2,2029,9999.0
REGION1,HUCO2,2029,9999.0
REGION1,IECO2,2029,9999.0
REGION1,ITCO2,2029,9999.0
REGION1,KECO2,2029,9999.0
REGION1,LRCO2,2029,9999.0
REGION1,LSCO2,2029,9999.0
REGION1,LTCO2,2029,9999.0
REGION1,LUCO2,2029,9999.0
REGION1,LVCO2,2029,9999.0
REGION1,LYCO2,2029,9999.0
REGION1,MACO2,2029,9999.0
REGION1,MLCO2,2029,9999.0
REGION1,MRCO2,2029,9999.0
REGION1,MTCO2,2029,9999.0
REGION1,MWCO2,2029,9999.0
REGION1,MZCO2,2029,9999.0
REGION1,NACO2,2029,9999.0
REGION1,NECO2,2029,9999.0
REGION1,NGCO2,2029,9999.0
REGION1,NLCO2,2029,9999.0
REGION1,NOCO2,2029,9999.0
REGION1,PLCO2,2029,9999.0
