REGION,FUEL,YEAR,VALUE
REGION1,LVE1,2025,1.0
REGION1,MTE1,2025,1.0
REGION1,NLE1,2025,1.0
REGION1,NOE1,2025,1.0
REGION1,PLE1,2025,1.0
REGION1,PTE1,2025,1.0
REGION1,ROE1,2025,1.0
REGION1,SEE1,2025,1.0
REGION1,SIE1,2025,1.0
REGION1,SKE1,2025,1.0
REGION1,UKE1,2025,1.0
REGION1,DZE1,2025,1.0
REGION1,AOE1,2025,1.0
REGION1,BJE1,2025,1.0
REGION1,BWE1,2025,1.0
REGION1,BFE1,2025,1.0
REGION1,BIE1,2025,1.0
REGION1,CME1,2025,1.0
REGION1,CFE1,2025,1.0
REGION1,TDE1,2025,1.0
REGION1,CIE1,2025,1.0
REGION1,DJE1,2025,1.0
REGION1,CDE1,2025,1.0
REGION1,EGE1,2025,1.0
REGION1,GQE1,2025,1.0
REGION1,ERE1,2025,1.0
REGION1,SZE1,2025,1.0
REGION1,ETE1,2025,1.0
REGION1,GAE1,2025,1.0
REGION1,GME1,2025,1.0
REGION1,GHE1,2025,1.0
REGION1,GNE1,2025,1.0
REGION1,GWE1,2025,1.0
REGION1,KEE1,2025,1.0
REGION1,LSE1,2025,1.0
REGION1,LRE1,2025,1.0
REGION1,LYE1,2025,1.0
REGION1,MWE1,2025,1.0
REGION1,MLE1,2025,1.0
REGION1,MRE1,2025,1.0
REGION1,MAE1,2025,1.0
REGION1,MZE1,2025,1.0
REGION1,NAE1,2025,1.0
REGION1,NEE1,2025,1.0
REGION1,NGE1,2025,1.0
REGION1,CGE1,2025,1.0
REGION1,RWE1,2025,1.0
REGION1,SNE1,2025,1.0
REGION1,SLE1,2025,1.0
REGION1,SOE1,2025,1.0
REGION1,ZAE1,2025,1.0
REGION1,SSE1,2025,1.0
REGION1,SDE1,2025,1.0
REGION1,TZE1,2025,1.0
REGION1,TGE1,2025,1.0
REGION1,TNE1,2025,1.0
REGION1,UGE1,2025,1.0
REGION1,ZME1,2025,1.0
REGION1,ZWE1,2025,1.0
REGION1,ATE1,2026,1.0
REGION1,BEE1,2026,1.0
REGION1,BGE1,2026,1.0
REGION1,CHE1,2026,1.0
REGION1,CYE1,2026,1.0
REGION1,CZE1,2026,1.0
REGION1,DEE1,2026,1.0
REGION1,DKE1,2026,1.0
REGION1,EEE1,2026,1.0
REGION1,ESE1,2026,1.0
REGION1,FIE1,2026,1.0
REGION1,FRE1,2026,1.0
REGION1,GRE1,2026,1.0
REGION1,HRE1,2026,1.0
REGION1,HUE1,2026,1.0
REGION1,IEE1,2026,1.0
REGION1,ITE1,2026,1.0
REGION1,LTE1,2026,1.0
REGION1,LUE1,2026,1.0
REGION1,LVE1,2026,1.0
REGION1,MTE1,2026,1.0
REGION1,NLE1,2026,1.0
REGION1,NOE1,2026,1.0
REGION1,PLE1,2026,1.0
REGION1,PTE1,2026,1.0
REGION1,ROE1,2026,1.0
REGION1,SEE1,2026,1.0
REGION1,SIE1,2026,1.0
REGION1,SKE1,2026,1.0
REGION1,UKE1,2026,1.0
REGION1,DZE1,2026,1.0
REGION1,AOE1,2026,1.0
REGION1,BJE1,2026,1.0
REGION1,BWE1,2026,1.0
REGION1,BFE1,2026,1.0
REGION1,BIE1,2026,1.0
REGION1,CME1,2026,1.0
REGION1,CFE1,2026,1.0
REGION1,TDE1,2026,1.0
REGION1,CIE1,2026,1.0
REGION1,DJE1,2026,1.0
REGION1,CDE1,2026,1.0
REGION1,EGE1,2026,1.0
REGION1,GQE1,2026,1.0
REGION1,ERE1,2026,1.0
REGION1,SZE1,2026,1.0
REGION1,ETE1,2026,1.0
REGION1,GAE1,2026,1.0
REGION1,GME1,2026,1.0
REGION1,GHE1,2026,1.0
REGION1,GNE1,2026,1.0
REGION1,GWE1,2026,1.0
REGION1,KEE1,2026,1.0
REGION1,LSE1,2026,1.0
REGION1,LRE1,2026,1.0
REGION1,LYE1,2026,1.0
REGION1,MWE1,2026,1.0
REGION1,MLE1,2026,1.0
REGION1,MRE1,2026,1.0
REGION1,MAE1,2026,1.0
REGION1,MZE1,2026,1.0
REGION1,NAE1,2026,1.0
REGION1,NEE1,2026,1.0
REGION1,NGE1,2026,1.0
REGION1,CGE1,2026,1.0
REGION1,RWE1,2026,1.0
REGION1,SNE1,2026,1.0
REGION1,SLE1,2026,1.0
REGION1,SOE1,2026,1.0
REGION1,ZAE1,2026,1.0
REGION1,SSE1,2026,1.0
REGION1,SDE1,2026,1.0
REGION1,TZE1,2026,1.0
REGION1,TGE1,2026,1.0
REGION1,TNE1,2026,1.0
REGION1,UGE1,2026,1.0
REGION1,ZME1,2026,1.0
REGION1,ZWE1,2026,1.0
REGION1,ATE1,2027,1.0
REGION1,BEE1,2027,1.0
REGION1,BGE1,2027,1.0
REGION1,CHE1,2027,1.0
REGION1,CYE1,2027,1.0
REGION1,CZE1,2027,1.0
REGION1,DEE1,2027,1.0
REGION1,DKE1,2027,1.0
REGION1,EEE1,2027,1.0
REGION1,ESE1,2027,1.0
REGION1,FIE1,2027,1.0
REGION1,FRE1,2027,1.0
REGION1,GRE1,2027,1.0
REGION1,HRE1,2027,1.0
REGION1,HUE1,2027,1.0
REGION1,IEE1,2027,1.0
