REGION,EMISSION,YEAR,VALUE
REGION1,NECO2,2029,0.0
REGION1,NGCO2,2029,-20.402
REGION1,CGCO2,2029,0.0
REGION1,RWCO2,2029,0.0
REGION1,SNCO2,2029,0.0
REGION1,SLCO2,2029,0.0
REGION1,SOCO2,2029,0.0
REGION1,ZACO2,2029,-4.042
REGION1,SSCO2,2029,0.0
REGION1,SDCO2,2029,0.0
REGION1,SZCO2,2029,0.0
REGION1,TZCO2,2029,-2.991
REGION1,TGCO2,2029,0.0
REGION1,TNCO2,2029,-2.604
REGION1,UGCO2,2029,0.0
REGION1,ZMCO2,2029,0.0
REGION1,ZWCO2,2029,0.0
REGION1,ATCO2,2030,-10.036
REGION1,BECO2,2030,-21.566
REGION1,BGCO2,2030,-2.825
REGION1,HRCO2,2030,-2.804
REGION1,CYCO2,2030,0.0
REGION1,CZCO2,2030,-10.657
REGION1,DKCO2,2030,-3.163
REGION1,EECO2,2030,-0.389
REGION1,FICO2,2030,-1.427
REGION1,FRCO2,2030,-56.422
REGION1,DECO2,2030,-116.207
REGION1,GRCO2,2030,-2.864
REGION1,HUCO2,2030,-12.375
REGION1,IECO2,2030,-3.988
REGION1,ITCO2,2030,-72.105
REGION1,LVCO2,2030,-0.669
REGION1,LTCO2,2030,-2.489
REGION1,LUCO2,2030,-1.106
REGION1,MTCO2,2030,0.0
REGION1,NLCO2,2030,-34.443
REGION1,NOCO2,2030,-1.703
REGION1,PLCO2,2030,-26.722
REGION1,PTCO2,2030,-4.09
REGION1,ROCO2,2030,-12.576
REGION1,SKCO2,2030,-6.343
REGION1,SICO2,2030,-1.32
REGION1,ESCO2,2030,-32.009
REGION1,SECO2,2030,-1.161
REGION1,CHCO2,2030,-5.923
REGION1,UKCO2,2030,-83.27
REGION1,DZCO2,2030,-62.462
REGION1,AOCO2,2030,-1.44
REGION1,BJCO2,2030,0.0
REGION1,BWCO2,2030,0.0
REGION1,BFCO2,2030,0.0
REGION1,BICO2,2030,0.0
REGION1,CMCO2,2030,0.0
REGION1,CFCO2,2030,0.0
REGION1,TDCO2,2030,0.0
REGION1,CDCO2,2030,0.0
REGION1,CICO2,2030,-19.794
REGION1,DJCO2,2030,0.0
REGION1,EGCO2,2030,-43.611
REGION1,GQCO2,2030,-10.305
REGION1,ERCO2,2030,0.0
REGION1,ETCO2,2030,0.0
REGION1,GACO2,2030,-0.012
REGION1,GMCO2,2030,0.0
REGION1,GHCO2,2030,-11.555
REGION1,GNCO2,2030,0.0
REGION1,GWCO2,2030,0.0
REGION1,KECO2,2030,0.0
REGION1,LSCO2,2030,0.0
REGION1,LRCO2,2030,0.0
REGION1,LYCO2,2030,-2.721
REGION1,MWCO2,2030,0.0
