REGION,STORAGE,YEAR,VALUE
REGION1,SIHYDSSN1,2025,0.0
REGION1,SKHYDSSN1,2025,0.0
REGION1,CHHYDSSN1,2025,0.0
REGION1,UKHYDSSN1,2025,0.0
REGION1,MAHYDSSH1,2025,0.0133632
REGION1,ZAHYDSSH1,2025,0.0786816
REGION1,ATHYDSSH1,2026,0.172786176
REGION1,BEHYDSSH1,2026,0.03757824
REGION1,BGHYDSSH1,2026,0.0369216
REGION1,CZHYDSSH1,2026,0.033043968
REGION1,DEHYDSSH1,2026,0.192259008
REGION1,GRHYDSSH1,2026,0.0201312
REGION1,ESHYDSSH1,2026,0.1810453513846153
REGION1,FRHYDSSH1,2026,0.1704355199999997
REGION1,HRHYDSSH1,2026,0.00846144
REGION1,IEHYDSSH1,2026,0.0084096
REGION1,ITHYDSSH1,2026,0.2184566399999997
REGION1,LTHYDSSH1,2026,0.02592
REGION1,LUHYDSSH1,2026,0.034776
REGION1,SLHYDSSH1,2026,0.051332256
REGION1,STHYDSSH1,2026,0.07291008
REGION1,ROHYDSSH1,2026,0.0057168
REGION1,SEHYDSSH1,2026,0.0026496
REGION1,SIHYDSSH1,2026,0.0051264
REGION1,SKHYDSSH1,2026,0.0264096
REGION1,CHHYDSSH1,2026,0.01451596955083574
REGION1,UKHYDSSH1,2026,0.07217885931558912
REGION1,ATBATSH1,2026,4.168185230131199e-05
REGION1,BEBATSH1,2026,5.87068342272e-05
REGION1,BGBATSH1,2026,0.0
REGION1,CHBATSH1,2026,0.0
REGION1,CYBATSH1,2026,0.0
REGION1,CZBATSH1,2026,0.0
REGION1,DEBATSH1,2026,0.0
REGION1,DKBATSH1,2026,0.0
REGION1,EEBATSH1,2026,0.0
REGION1,GRBATSH1,2026,0.0011412285686179429
REGION1,ESBATSH1,2026,0.0
REGION1,FIBATSH1,2026,0.0
REGION1,FRBATSH1,2026,0.0
REGION1,HRBATSH1,2026,0.00048121992016035824
REGION1,HUBATSH1,2026,0.0
REGION1,IEBATSH1,2026,0.0
REGION1,ITBATSH1,2026,0.0
REGION1,LTBATSH1,2026,0.0
REGION1,LUBATSH1,2026,0.0
REGION1,LVBATSH1,2026,0.0
REGION1,MTBATSH1,2026,0.0
REGION1,NLBATSH1,2026,0.0
REGION1,NOBATSH1,2026,0.0
REGION1,PLBATSH1,2026,0.0
REGION1,PTBATSH1,2026,0.0
REGION1,ROBATSH1,2026,0.0
REGION1,SEBATSH1,2026,0.0
REGION1,SIBATSH1,2026,0.0
REGION1,SKBATSH1,2026,0.0
REGION1,UKBATSH1,2026,0.0017318516097023994
REGION1,ATHYDSSN1,2026,0.0
REGION1,BEHYDSSN1,2026,0.0
REGION1,BGHYDSSN1,2026,0.0
REGION1,CZHYDSSN1,2026,0.0
REGION1,DEHYDSSN1,2026,0.0
