REGION,FUEL,YEAR,VALUE
REGION1,SKNG,2025,110.215
REGION1,SING,2025,22.864
REGION1,ESNG,2025,573.678
REGION1,SENG,2025,20.779
REGION1,CHNG,2025,106.174
REGION1,UKNG,2025,1492.587
REGION1,DZNG,2025,963.377
REGION1,AONG,2025,14.205
REGION1,BJNG,2025,0.0
REGION1,BWNG,2025,0.0
REGION1,BFNG,2025,0.0
REGION1,BING,2025,0.0
REGION1,CMNG,2025,0.0
REGION1,CFNG,2025,0.0
REGION1,TDNG,2025,0.0
REGION1,CDNG,2025,0.0
REGION1,CING,2025,140.98089285714292
REGION1,DJNG,2025,0.0
REGION1,EGNG,2025,641.515
REGION1,GQNG,2025,125.39008214285712
REGION1,ERNG,2025,0.0
REGION1,ETNG,2025,0.0
REGION1,GANG,2025,0.1517857142857143
REGION1,GMNG,2025,0.0
REGION1,GHNG,2025,82.30214285714277
REGION1,GNNG,2025,0.0
REGION1,GWNG,2025,0.0
REGION1,KENG,2025,0.0
REGION1,LSNG,2025,0.0
REGION1,LRNG,2025,0.0
REGION1,LYNG,2025,42.315
REGION1,MWNG,2025,0.0
REGION1,MLNG,2025,0.0
REGION1,MRNG,2025,0.0
REGION1,MANG,2025,0.982
REGION1,MZNG,2025,12.264
REGION1,NANG,2025,0.0
REGION1,NENG,2025,0.0
REGION1,NGNG,2025,311.694
REGION1,CGNG,2025,0.0
REGION1,RWNG,2025,0.0
REGION1,SNNG,2025,0.0
REGION1,SLNG,2025,0.0
REGION1,SONG,2025,0.0
REGION1,ZANG,2025,63.497
REGION1,SSNG,2025,0.0
REGION1,SDNG,2025,0.0
REGION1,SZNG,2025,0.0
REGION1,TZNG,2025,40.872
REGION1,TGNG,2025,0.0
REGION1,TNNG,2025,39.269
REGION1,UGNG,2025,0.0
REGION1,ZMNG,2025,0.0
REGION1,ZWNG,2025,0.0
REGION1,ATNG,2026,179.637
REGION1,BENG,2026,385.989
REGION1,BGNG,2026,49.337
REGION1,HRNG,2026,48.965
REGION1,CYNG,2026,0.0
REGION1,CZNG,2026,185.712
REGION1,DKNG,2026,56.63
REGION1,EENG,2026,6.967
REGION1,FING,2026,25.546
REGION1,FRNG,2026,1010.088
REGION1,DENG,2026,2080.398
REGION1,GRNG,2026,51.259
REGION1,HUNG,2026,216.028
REGION1,IENG,2026,71.405
REGION1,ITNG,2026,1290.984
REGION1,LVNG,2026,11.979
REGION1,LTNG,2026,44.484
REGION1,LUNG,2026,19.804
REGION1,MTNG,2026,0.0
REGION1,NLNG,2026,616.412
REGION1,NONG,2026,30.419
REGION1,PLNG,2026,466.835
REGION1,PTNG,2026,73.23
REGION1,RONG,2026,219.126
REGION1,SKNG,2026,110.783
REGION1,SING,2026,22.996
REGION1,ESNG,2026,573.058
REGION1,SENG,2026,20.764
REGION1,CHNG,2026,106.056
REGION1,UKNG,2026,1490.933
REGION1,DZNG,2026,993.382
REGION1,AONG,2026,16.498
REGION1,BJNG,2026,0.0
REGION1,BWNG,2026,0.0
REGION1,BFNG,2026,0.0
REGION1,BING,2026,0.0
REGION1,CMNG,2026,0.0
REGION1,CFNG,2026,0.0
REGION1,TDNG,2026,0.0
REGION1,CDNG,2026,0.0
REGION1,CING,2026,183.3508571428572
REGION1,DJNG,2026,0.0
REGION1,EGNG,2026,668.689
REGION1,GQNG,2026,137.05044285714285
REGION1,ERNG,2026,0.0
REGION1,ETNG,2026,0.0
REGION1,GANG,2026,0.1657142857142857
REGION1,GMNG,2026,0.0
REGION1,GHNG,2026,107.03685714285706
REGION1,GNNG,2026,0.0
REGION1,GWNG,2026,0.0
REGION1,KENG,2026,0.0
REGION1,LSNG,2026,0.0
REGION1,LRNG,2026,0.0
REGION1,LYNG,2026,43.552
REGION1,MWNG,2026,0.0
REGION1,MLNG,2026,0.0
REGION1,MRNG,2026,0.0
REGION1,MANG,2026,0.984
REGION1,MZNG,2026,13.197
REGION1,NANG,2026,0.0
REGION1,NENG,2026,0.0
REGION1,NGNG,2026,324.686
REGION1,CGNG,2026,0.0
REGION1,RWNG,2026,0.0
REGION1,SNNG,2026,0.0
REGION1,SLNG,2026,0.0
REGION1,SONG,2026,0.0
REGION1,ZANG,2026,65.634
REGION1,SSNG,2026,0.0
REGION1,SDNG,2026,0.0
REGION1,SZNG,2026,0.0
REGION1,TZNG,2026,43.981
REGION1,TGNG,2026,0.0
REGION1,TNNG,2026,41.056
REGION1,UGNG,2026,0.0
REGION1,ZMNG,2026,0.0
REGION1,ZWNG,2026,0.0
REGION1,ATNG,2027,179.45
REGION1,BENG,2027,385.597
REGION1,BGNG,2027,49.594
REGION1,HRNG,2027,49.222
REGION1,CYNG,2027,0.0
REGION1,CZNG,2027,186.775
REGION1,DKNG,2027,56.566
REGION1,EENG,2027,6.959
REGION1,FING,2027,25.52
REGION1,FRNG,2027,1008.999
REGION1,DENG,2027,2078.153
REGION1,GRNG,2027,51.207
REGION1,HUNG,2027,217.168
REGION1,IENG,2027,71.325
REGION1,ITNG,2027,1289.561
REGION1,LVNG,2027,11.966
REGION1,LTNG,2027,44.456
REGION1,LUNG,2027,19.781
REGION1,MTNG,2027,0.0
REGION1,NLNG,2027,615.797
REGION1,NONG,2027,30.403
REGION1,PLNG,2027,469.208
REGION1,PTNG,2027,73.151
REGION1,RONG,2027,220.389
REGION1,SKNG,2027,111.352
REGION1,SING,2027,23.128
REGION1,ESNG,2027,572.437
REGION1,SENG,2027,20.749
REGION1,CHNG,2027,105.937
REGION1,UKNG,2027,1489.28
REGION1,DZNG,2027,1023.386
REGION1,AONG,2027,18.791
REGION1,BJNG,2027,0.0
REGION1,BWNG,2027,0.0
REGION1,BFNG,2027,0.0
REGION1,BING,2027,0.0
REGION1,CMNG,2027,0.0
REGION1,CFNG,2027,0.0
REGION1,TDNG,2027,0.0
REGION1,CDNG,2027,0.0
REGION1,CING,2027,225.7208214285715
REGION1,DJNG,2027,0.0
REGION1,EGNG,2027,695.863
REGION1,GQNG,2027,148.71080357142856
REGION1,ERNG,2027,0.0
REGION1,ETNG,2027,0.0
REGION1,GANG,2027,0.17964285714285716
REGION1,GMNG,2027,0.0
REGION1,GHNG,2027,131.77157142857135
REGION1,GNNG,2027,0.0
REGION1,GWNG,2027,0.0
REGION1,KENG,2027,0.0
REGION1,LSNG,2027,0.0
REGION1,LRNG,2027,0.0
REGION1,LYNG,2027,44.789
REGION1,MWNG,2027,0.0
REGION1,MLNG,2027,0.0
REGION1,MRNG,2027,0.0
REGION1,MANG,2027,0.985
REGION1,MZNG,2027,14.13
REGION1,NANG,2027,0.0
REGION1,NENG,2027,0.0
REGION1,NGNG,2027,337.679
REGION1,CGNG,2027,0.0
REGION1,RWNG,2027,0.0
REGION1,SNNG,2027,0.0
REGION1,SLNG,2027,0.0
REGION1,SONG,2027,0.0
REGION1,ZANG,2027,67.772
REGION1,SSNG,2027,0.0
REGION1,SDNG,2027,0.0
REGION1,SZNG,2027,0.0
REGION1,TZNG,2027,47.09
REGION1,TGNG,2027,0.0
REGION1,TNNG,2027,42.842
REGION1,UGNG,2027,0.0
REGION1,ZMNG,2027,0.0
REGION1,ZWNG,2027,0.0
REGION1,ATNG,2028,179.263
REGION1,BENG,2028,385.205
REGION1,BGNG,2028,49.851
REGION1,HRNG,2028,49.478
REGION1,CYNG,2028,0.0
REGION1,CZNG,2028,187.837
REGION1,DKNG,2028,56.503
REGION1,EENG,2028,6.952
REGION1,FING,2028,25.493
REGION1,FRNG,2028,1007.91
REGION1,DENG,2028,2075.909
REGION1,GRNG,2028,51.155
REGION1,HUNG,2028,218.308
REGION1,IENG,2028,71.245
REGION1,ITNG,2028,1288.138
REGION1,LVNG,2028,11.952
REGION1,LTNG,2028,44.428
REGION1,LUNG,2028,19.759
REGION1,MTNG,2028,0.0
REGION1,NLNG,2028,615.182
REGION1,NONG,2028,30.386
REGION1,PLNG,2028,471.581
REGION1,PTNG,2028,73.072
REGION1,RONG,2028,221.652
REGION1,SKNG,2028,111.921
REGION1,SING,2028,23.26
REGION1,ESNG,2028,571.817
REGION1,SENG,2028,20.734
REGION1,CHNG,2028,105.818
REGION1,UKNG,2028,1487.626
REGION1,DZNG,2028,1053.391
REGION1,AONG,2028,21.084
REGION1,BJNG,2028,0.0
REGION1,BWNG,2028,0.0
REGION1,BFNG,2028,0.0
REGION1,BING,2028,0.0
REGION1,CMNG,2028,0.0
REGION1,CFNG,2028,0.0
REGION1,TDNG,2028,0.0
REGION1,CDNG,2028,0.0
REGION1,CING,2028,268.0907857142858
REGION1,DJNG,2028,0.0
REGION1,EGNG,2028,723.037
REGION1,GQNG,2028,160.37116428571426
REGION1,ERNG,2028,0.0
REGION1,ETNG,2028,0.0
REGION1,GANG,2028,0.19357142857142856
REGION1,GMNG,2028,0.0
REGION1,GHNG,2028,156.50628571428564
REGION1,GNNG,2028,0.0
REGION1,GWNG,2028,0.0
REGION1,KENG,2028,0.0
REGION1,LSNG,2028,0.0
REGION1,LRNG,2028,0.0
REGION1,LYNG,2028,46.026
REGION1,MWNG,2028,0.0
REGION1,MLNG,2028,0.0
REGION1,MRNG,2028,0.0
REGION1,MANG,2028,0.987
REGION1,MZNG,2028,15.063
REGION1,NANG,2028,0.0
REGION1,NENG,2028,0.0
REGION1,NGNG,2028,350.672
REGION1,CGNG,2028,0.0
REGION1,RWNG,2028,0.0
REGION1,SNNG,2028,0.0
REGION1,SLNG,2028,0.0
REGION1,SONG,2028,0.0
REGION1,ZANG,2028,69.91
REGION1,SSNG,2028,0.0
REGION1,SDNG,2028,0.0
REGION1,SZNG,2028,0.0
REGION1,TZNG,2028,50.199
REGION1,TGNG,2028,0.0
REGION1,TNNG,2028,44.629
REGION1,UGNG,2028,0.0
REGION1,ZMNG,2028,0.0
REGION1,ZWNG,2028,0.0
REGION1,ATNG,2029,179.076
REGION1,BENG,2029,384.813
REGION1,BGNG,2029,50.108
REGION1,HRNG,2029,49.735
REGION1,CYNG,2029,0.0
REGION1,CZNG,2029,188.9
REGION1,DKNG,2029,56.439
REGION1,EENG,2029,6.944
REGION1,FING,2029,25.467
REGION1,FRNG,2029,1006.822
REGION1,DENG,2029,2073.664
REGION1,GRNG,2029,51.104
REGION1,HUNG,2029,219.448
REGION1,IENG,2029,71.165
REGION1,ITNG,2029,1286.715
REGION1,LVNG,2029,11.939
REGION1,LTNG,2029,44.401
REGION1,LUNG,2029,19.737
REGION1,MTNG,2029,0.0
REGION1,NLNG,2029,614.567
REGION1,NONG,2029,30.37
REGION1,PLNG,2029,473.955
REGION1,PTNG,2029,72.992
REGION1,RONG,2029,222.915
REGION1,SKNG,2029,112.489
REGION1,SING,2029,23.392
REGION1,ESNG,2029,571.197
REGION1,SENG,2029,20.719
REGION1,CHNG,2029,105.699
REGION1,UKNG,2029,1485.972
REGION1,DZNG,2029,1083.396
REGION1,AONG,2029,23.377
