REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
REGION1,NABATTN1,NABATSN1,2,1.0
REGION1,NEBATTN1,NEBATSN1,2,1.0
REGION1,NGBATTN1,NGBATSN1,2,1.0
REGION1,CGBATTN1,CGBATSN1,2,1.0
REGION1,RWBATTN1,RWBATSN1,2,1.0
REGION1,SNBATTN1,SNBATSN1,2,1.0
REGION1,SLBATTN1,SLBATSN1,2,1.0
REGION1,SOBATTN1,SOBATSN1,2,1.0
REGION1,ZABATTN1,ZABATSN1,2,1.0
REGION1,SSBATTN1,SSBATSN1,2,1.0
REGION1,SDBATTN1,SDBATSN1,2,1.0
REGION1,TZBATTN1,TZBATSN1,2,1.0
REGION1,TGBATTN1,TGBATSN1,2,1.0
REGION1,TNBATTN1,TNBATSN1,2,1.0
REGION1,UGBATTN1,UGBATSN1,2,1.0
REGION1,ZMBATTN1,ZMBATSN1,2,1.0
REGION1,ZWBATTN1,ZWBATSN1,2,1.0
REGION1,MAHYDSPH1,MAHYDSSH1,2,1.0
REGION1,ZAHYDSPH1,ZAHYDSSH1,2,1.0
REGION1,MAHYDSPN1,MAHYDSSN1,2,1.0
REGION1,ZAHYDSPN1,ZAHYDSSN1,2,1.0
REGION1,TNHYDSPN1,TNHYDSSN1,2,1.0
