REGION,TECHNOLOGY,VALUE
REGION1,SILICHPH1,25.0
REGION1,SINGCCPH1,30.0
REGION1,SIBFCHPH1,35.0
REGION1,SIDSCHPH1,25.0
REGION1,SIDSELH1,30.0
REGION1,SIBMCHPH1,35.0
REGION1,SIWSCHPH1,35.0
REGION1,SIHYDRPH1,50.0
REGION1,SIHYDSPH1,50.0
REGION1,SKBFHPFH1,25.0
REGION1,SKBMSTPH1,40.0
REGION1,SKCOCHPH1,25.0
REGION1,SKHFCHPH1,25.0
REGION1,SKHYDMPH1,60.0
REGION1,SKHYDSPH1,50.0
REGION1,SKNGCCPH1,30.0
REGION1,SKNGCHPH1,25.0
REGION1,SKNUG2PH1,35.0
REGION1,SKSOUTPH1,30.0
REGION1,SKWIONPH1,30.0
REGION1,SKWSCHPH1,35.0
REGION1,SKLICHPH1,25.0
REGION1,SKLIELH1,40.0
REGION1,SKBFCHPH1,35.0
REGION1,SKDGCHPH1,25.0
REGION1,SKRGCHPH1,25.0
REGION1,SKDSCHPH1,25.0
REGION1,SKDSELH1,30.0
REGION1,SKBMCHPH1,35.0
REGION1,SKHYDRPH1,50.0
REGION1,NOBFHPFH1,25.0
REGION1,NOHFCHPH1,25.0
REGION1,NOHFSTPH1,30.0
REGION1,NOHYDRPH1,50.0
REGION1,NOHYDMPH1,60.0
REGION1,NOSOUTPH1,30.0
REGION1,NOWIOFPH1,30.0
REGION1,NOWIONPH1,30.0
REGION1,NOWSCHPH1,35.0
REGION1,NOBMCHPH1,35.0
REGION1,NOOCWVPH1,80.0
REGION1,CHBFHPFH1,25.0
REGION1,CHHFCHPH1,25.0
REGION1,CHHFSTPH1,30.0
REGION1,CHHYDSPH1,50.0
REGION1,CHNGCCPH1,30.0
REGION1,CHNGCHPH1,25.0
REGION1,CHNUG2PH1,35.0
REGION1,CHSOUTPH1,30.0
REGION1,CHWIONPH1,30.0
REGION1,CHWSCHPH1,35.0
REGION1,CHWSSTPH1,20.0
REGION1,CHHYDRPH1,50.0
REGION1,CHHYDMPH1,60.0
REGION1,UKBFHPFH1,25.0
REGION1,UKBMCCPH1,40.0
REGION1,UKBMSTPH1,40.0
