REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,GRSOUTPH1,S2P1,2021,0.06933540372670807
REGION1,GRSOUTPH1,S2P2,2021,0.394395652173913
REGION1,GRSOUTPH1,S2P3,2021,0.0001793478260869565
REGION1,GRSOUTPH1,S2P4,2021,0.0
REGION1,GRSOUTPH1,S3P1,2021,0.09640993788819877
REGION1,GRSOUTPH1,S3P2,2021,0.4445282608695652
REGION1,GRSOUTPH1,S3P3,2021,0.001116847826086956
REGION1,GRSOUTPH1,S3P4,2021,0.0
REGION1,GRSOUTPH1,S4P1,2021,0.03441444270015698
REGION1,GRSOUTPH1,S4P2,2021,0.3138725274725275
REGION1,GRSOUTPH1,S4P3,2021,0.0
REGION1,GRSOUTPH1,S4P4,2021,0.0
REGION1,ESSOUTPH1,S1P1,2021,9.523809523809525e-06
REGION1,ESSOUTPH1,S1P2,2021,0.2671077777777778
REGION1,ESSOUTPH1,S1P3,2021,0.000575
REGION1,ESSOUTPH1,S1P4,2021,0.0
REGION1,ESSOUTPH1,S2P1,2021,0.009723602484472049
REGION1,ESSOUTPH1,S2P2,2021,0.4523478260869566
REGION1,ESSOUTPH1,S2P3,2021,0.03271467391304348
REGION1,ESSOUTPH1,S2P4,2021,0.0
REGION1,ESSOUTPH1,S3P1,2021,0.01990527950310559
REGION1,ESSOUTPH1,S3P2,2021,0.4911347826086956
REGION1,ESSOUTPH1,S3P3,2021,0.0540516304347826
REGION1,ESSOUTPH1,S3P4,2021,0.0
REGION1,ESSOUTPH1,S4P1,2021,0.001601255886970173
REGION1,ESSOUTPH1,S4P2,2021,0.3543087912087912
REGION1,ESSOUTPH1,S4P3,2021,0.008565934065934066
REGION1,ESSOUTPH1,S4P4,2021,0.0
REGION1,FISOUTPH1,S1P1,2021,0.0007333333333333333
REGION1,FISOUTPH1,S1P2,2021,0.02948
REGION1,FISOUTPH1,S1P3,2021,0.0
REGION1,FISOUTPH1,S1P4,2021,0.0
REGION1,FISOUTPH1,S2P1,2021,0.05485248447204969
REGION1,FISOUTPH1,S2P2,2021,0.2559489130434783
REGION1,FISOUTPH1,S2P3,2021,0.003146739130434782
REGION1,FISOUTPH1,S2P4,2021,0.0
REGION1,FISOUTPH1,S3P1,2021,0.1074425465838509
REGION1,FISOUTPH1,S3P2,2021,0.3392163043478261
REGION1,FISOUTPH1,S3P3,2021,0.01097282608695652
REGION1,FISOUTPH1,S3P4,2021,0.0
REGION1,FISOUTPH1,S4P1,2021,0.01585400313971743
REGION1,FISOUTPH1,S4P2,2021,0.1337846153846154
REGION1,FISOUTPH1,S4P3,2021,2.747252747252747e-06
REGION1,FISOUTPH1,S4P4,2021,0.0
REGION1,FRSOUTPH1,S1P1,2021,8.253968253968253e-05
REGION1,FRSOUTPH1,S1P2,2021,0.1762011111111111
REGION1,FRSOUTPH1,S1P3,2021,0.0
REGION1,FRSOUTPH1,S1P4,2021,0.0
REGION1,FRSOUTPH1,S2P1,2021,0.01770031055900621
REGION1,FRSOUTPH1,S2P2,2021,0.3919423913043478
REGION1,FRSOUTPH1,S2P3,2021,0.01849184782608695
REGION1,FRSOUTPH1,S2P4,2021,0.0
REGION1,FRSOUTPH1,S3P1,2021,0.03368944099378882
REGION1,FRSOUTPH1,S3P2,2021,0.4411836956521739
REGION1,FRSOUTPH1,S3P3,2021,0.03687771739130435
REGION1,FRSOUTPH1,S3P4,2021,0.0
REGION1,FRSOUTPH1,S4P1,2021,0.004065934065934066
REGION1,FRSOUTPH1,S4P2,2021,0.2881241758241758
REGION1,FRSOUTPH1,S4P3,2021,0.002967032967032967
REGION1,FRSOUTPH1,S4P4,2021,0.0
REGION1,HRSOUTPH1,S1P1,2021,0.002728571428571429
REGION1,HRSOUTPH1,S1P2,2021,0.1851166666666667
REGION1,HRSOUTPH1,S1P3,2021,0.0
REGION1,HRSOUTPH1,S1P4,2021,0.0
REGION1,HRSOUTPH1,S2P1,2021,0.04302329192546584
REGION1,HRSOUTPH1,S2P2,2021,0.3909282608695652
REGION1,HRSOUTPH1,S2P3,2021,0.003048913043478261
REGION1,HRSOUTPH1,S2P4,2021,0.0
REGION1,HRSOUTPH1,S3P1,2021,0.06675
REGION1,HRSOUTPH1,S3P2,2021,0.4509282608695652
REGION1,HRSOUTPH1,S3P3,2021,0.01005163043478261
REGION1,HRSOUTPH1,S3P4,2021,0.0
REGION1,HRSOUTPH1,S4P1,2021,0.01479748822605965
REGION1,HRSOUTPH1,S4P2,2021,0.2761978021978022
REGION1,HRSOUTPH1,S4P3,2021,2.197802197802198e-05
REGION1,HRSOUTPH1,S4P4,2021,0.0
REGION1,HUSOUTPH1,S1P1,2021,0.003471428571428571
REGION1,HUSOUTPH1,S1P2,2021,0.1584433333333333
REGION1,HUSOUTPH1,S1P3,2021,0.0
REGION1,HUSOUTPH1,S1P4,2021,0.0
REGION1,HUSOUTPH1,S2P1,2021,0.05020186335403726
REGION1,HUSOUTPH1,S2P2,2021,0.3797586956521739
REGION1,HUSOUTPH1,S2P3,2021,0.002054347826086956
REGION1,HUSOUTPH1,S2P4,2021,0.0
REGION1,HUSOUTPH1,S3P1,2021,0.07083850931677019
REGION1,HUSOUTPH1,S3P2,2021,0.4207271739130435
REGION1,HUSOUTPH1,S3P3,2021,0.006872282608695652
REGION1,HUSOUTPH1,S3P4,2021,0.0
REGION1,HUSOUTPH1,S4P1,2021,0.01777864992150706
REGION1,HUSOUTPH1,S4P2,2021,0.262943956043956
REGION1,HUSOUTPH1,S4P3,2021,2.747252747252747e-06
REGION1,HUSOUTPH1,S4P4,2021,0.0
REGION1,IESOUTPH1,S1P1,2021,0.0
REGION1,IESOUTPH1,S1P2,2021,0.07847666666666667
REGION1,IESOUTPH1,S1P3,2021,6.944444444444444e-05
REGION1,IESOUTPH1,S1P4,2021,0.0
REGION1,IESOUTPH1,S2P1,2021,0.006001552795031056
REGION1,IESOUTPH1,S2P2,2021,0.3306217391304348
REGION1,IESOUTPH1,S2P3,2021,0.04085054347826087
REGION1,IESOUTPH1,S2P4,2021,0.0
REGION1,IESOUTPH1,S3P1,2021,0.01551708074534162
REGION1,IESOUTPH1,S3P2,2021,0.3882097826086957
REGION1,IESOUTPH1,S3P3,2021,0.06936141304347826
REGION1,IESOUTPH1,S3P4,2021,0.0
REGION1,IESOUTPH1,S4P1,2021,0.0003814756671899529
REGION1,IESOUTPH1,S4P2,2021,0.2045571428571429
REGION1,IESOUTPH1,S4P3,2021,0.00871978021978022
REGION1,IESOUTPH1,S4P4,2021,0.0
REGION1,ITSOUTPH1,S1P1,2021,0.002261904761904762
REGION1,ITSOUTPH1,S1P2,2021,0.2289277777777778
REGION1,ITSOUTPH1,S1P3,2021,0.0
REGION1,ITSOUTPH1,S1P4,2021,0.0
REGION1,ITSOUTPH1,S2P1,2021,0.03629192546583851
REGION1,ITSOUTPH1,S2P2,2021,0.418395652173913
REGION1,ITSOUTPH1,S2P3,2021,0.005728260869565217
REGION1,ITSOUTPH1,S2P4,2021,0.0
REGION1,ITSOUTPH1,S3P1,2021,0.05513354037267081
REGION1,ITSOUTPH1,S3P2,2021,0.4515891304347826
REGION1,ITSOUTPH1,S3P3,2021,0.01420652173913043
REGION1,ITSOUTPH1,S3P4,2021,0.0
REGION1,ITSOUTPH1,S4P1,2021,0.01193249607535322
REGION1,ITSOUTPH1,S4P2,2021,0.3083494505494506
REGION1,ITSOUTPH1,S4P3,2021,0.000271978021978022
REGION1,ITSOUTPH1,S4P4,2021,0.0
REGION1,LTSOUTPH1,S1P1,2021,0.001866666666666667
REGION1,LTSOUTPH1,S1P2,2021,0.08059888888888889
REGION1,LTSOUTPH1,S1P3,2021,0.0
REGION1,LTSOUTPH1,S1P4,2021,0.0
REGION1,LTSOUTPH1,S2P1,2021,0.05250155279503105
REGION1,LTSOUTPH1,S2P2,2021,0.3070586956521739
REGION1,LTSOUTPH1,S2P3,2021,0.001763586956521739
REGION1,LTSOUTPH1,S2P4,2021,0.0
REGION1,LTSOUTPH1,S3P1,2021,0.1044875776397516
REGION1,LTSOUTPH1,S3P2,2021,0.418425
REGION1,LTSOUTPH1,S3P3,2021,0.007067934782608695
REGION1,LTSOUTPH1,S3P4,2021,0.0
REGION1,LTSOUTPH1,S4P1,2021,0.0193171114599686
REGION1,LTSOUTPH1,S4P2,2021,0.1910351648351649
REGION1,LTSOUTPH1,S4P3,2021,0.0
REGION1,LTSOUTPH1,S4P4,2021,0.0
REGION1,LUSOUTPH1,S1P1,2021,1.428571428571429e-05
REGION1,LUSOUTPH1,S1P2,2021,0.1273844444444444
REGION1,LUSOUTPH1,S1P3,2021,0.0
REGION1,LUSOUTPH1,S1P4,2021,0.0
REGION1,LUSOUTPH1,S2P1,2021,0.01351552795031056
REGION1,LUSOUTPH1,S2P2,2021,0.4029282608695652
REGION1,LUSOUTPH1,S2P3,2021,0.01924184782608696
REGION1,LUSOUTPH1,S2P4,2021,0.0
REGION1,LUSOUTPH1,S3P1,2021,0.02399223602484472
REGION1,LUSOUTPH1,S3P2,2021,0.444125
REGION1,LUSOUTPH1,S3P3,2021,0.04070652173913043
REGION1,LUSOUTPH1,S3P4,2021,0.0
REGION1,LUSOUTPH1,S4P1,2021,0.002503924646781789
REGION1,LUSOUTPH1,S4P2,2021,0.2431131868131868
REGION1,LUSOUTPH1,S4P3,2021,0.002024725274725275
REGION1,LUSOUTPH1,S4P4,2021,0.0
REGION1,LVSOUTPH1,S1P1,2021,0.002
REGION1,LVSOUTPH1,S1P2,2021,0.06632888888888888
REGION1,LVSOUTPH1,S1P3,2021,0.0
REGION1,LVSOUTPH1,S1P4,2021,0.0
REGION1,LVSOUTPH1,S2P1,2021,0.06113509316770187
REGION1,LVSOUTPH1,S2P2,2021,0.2726586956521739
REGION1,LVSOUTPH1,S2P3,2021,0.001418478260869565
REGION1,LVSOUTPH1,S2P4,2021,0.0
REGION1,LVSOUTPH1,S3P1,2021,0.1343540372670808
REGION1,LVSOUTPH1,S3P2,2021,0.3855858695652173
REGION1,LVSOUTPH1,S3P3,2021,0.005336956521739131
REGION1,LVSOUTPH1,S3P4,2021,0.0
REGION1,LVSOUTPH1,S4P1,2021,0.02259183673469388
REGION1,LVSOUTPH1,S4P2,2021,0.1674241758241758
REGION1,LVSOUTPH1,S4P3,2021,0.0
REGION1,LVSOUTPH1,S4P4,2021,0.0
REGION1,MTSOUTPH1,S1P1,2021,0.007733333333333333
REGION1,MTSOUTPH1,S1P2,2021,0.2992622222222223
REGION1,MTSOUTPH1,S1P3,2021,0.0
REGION1,MTSOUTPH1,S1P4,2021,0.0
REGION1,MTSOUTPH1,S2P1,2021,0.04261335403726708
REGION1,MTSOUTPH1,S2P2,2021,0.4544086956521739
REGION1,MTSOUTPH1,S2P3,2021,0.002173913043478261
REGION1,MTSOUTPH1,S2P4,2021,0.0
REGION1,MTSOUTPH1,S3P1,2021,0.05380124223602485
REGION1,MTSOUTPH1,S3P2,2021,0.4627326086956522
REGION1,MTSOUTPH1,S3P3,2021,0.005842391304347826
REGION1,MTSOUTPH1,S3P4,2021,0.0
REGION1,MTSOUTPH1,S4P1,2021,0.02022919937205651
REGION1,MTSOUTPH1,S4P2,2021,0.3626934065934066
REGION1,MTSOUTPH1,S4P3,2021,8.241758241758243e-06
REGION1,MTSOUTPH1,S4P4,2021,0.0
REGION1,NLSOUTPH1,S1P1,2021,7.936507936507936e-06
REGION1,NLSOUTPH1,S1P2,2021,0.1126966666666667
REGION1,NLSOUTPH1,S1P3,2021,0.0
REGION1,NLSOUTPH1,S1P4,2021,0.0
REGION1,NLSOUTPH1,S2P1,2021,0.02324534161490683
REGION1,NLSOUTPH1,S2P2,2021,0.3821913043478261
REGION1,NLSOUTPH1,S2P3,2021,0.01259782608695652
REGION1,NLSOUTPH1,S2P4,2021,0.0
REGION1,NLSOUTPH1,S3P1,2021,0.04442080745341614
REGION1,NLSOUTPH1,S3P2,2021,0.4187032608695652
REGION1,NLSOUTPH1,S3P3,2021,0.02619836956521739
REGION1,NLSOUTPH1,S3P4,2021,0.0
REGION1,NLSOUTPH1,S4P1,2021,0.0048712715855573
REGION1,NLSOUTPH1,S4P2,2021,0.2101065934065934
REGION1,NLSOUTPH1,S4P3,2021,0.0009395604395604397
REGION1,NLSOUTPH1,S4P4,2021,0.0
REGION1,PTSOUTPH1,S1P1,2021,0.0
REGION1,PTSOUTPH1,S1P2,2021,0.2502066666666667
REGION1,PTSOUTPH1,S1P3,2021,0.002033333333333333
REGION1,PTSOUTPH1,S1P4,2021,0.0
REGION1,PTSOUTPH1,S2P1,2021,0.005055900621118012
REGION1,PTSOUTPH1,S2P2,2021,0.4499130434782609
REGION1,PTSOUTPH1,S2P3,2021,0.04761956521739131
REGION1,PTSOUTPH1,S2P4,2021,0.0
REGION1,PTSOUTPH1,S3P1,2021,0.0119611801242236
REGION1,PTSOUTPH1,S3P2,2021,0.4964380434782609
REGION1,PTSOUTPH1,S3P3,2021,0.07620380434782609
REGION1,PTSOUTPH1,S3P4,2021,0.0
REGION1,PTSOUTPH1,S4P1,2021,0.0004866562009419152
REGION1,PTSOUTPH1,S4P2,2021,0.3471703296703297
REGION1,PTSOUTPH1,S4P3,2021,0.0159478021978022
REGION1,PTSOUTPH1,S4P4,2021,0.0
REGION1,ROSOUTPH1,S1P1,2021,0.009736507936507937
REGION1,ROSOUTPH1,S1P2,2021,0.18488
REGION1,ROSOUTPH1,S1P3,2021,0.0
REGION1,ROSOUTPH1,S1P4,2021,0.0
REGION1,ROSOUTPH1,S2P1,2021,0.07021428571428572
REGION1,ROSOUTPH1,S2P2,2021,0.3509402173913044
REGION1,ROSOUTPH1,S2P3,2021,0.000546195652173913
REGION1,ROSOUTPH1,S2P4,2021,0.0
REGION1,ROSOUTPH1,S3P1,2021,0.09935869565217392
REGION1,ROSOUTPH1,S3P2,2021,0.4037847826086957
REGION1,ROSOUTPH1,S3P3,2021,0.002682065217391304
REGION1,ROSOUTPH1,S3P4,2021,0.0
REGION1,ROSOUTPH1,S4P1,2021,0.02998744113029827
REGION1,ROSOUTPH1,S4P2,2021,0.2563615384615385
REGION1,ROSOUTPH1,S4P3,2021,0.0
REGION1,ROSOUTPH1,S4P4,2021,0.0
REGION1,SESOUTPH1,S1P1,2021,7.301587301587302e-05
REGION1,SESOUTPH1,S1P2,2021,0.03954555555555556
REGION1,SESOUTPH1,S1P3,2021,0.0
REGION1,SESOUTPH1,S1P4,2021,0.0
REGION1,SESOUTPH1,S2P1,2021,0.03373757763975156
REGION1,SESOUTPH1,S2P2,2021,0.2863347826086957
REGION1,SESOUTPH1,S2P3,2021,0.0079375
REGION1,SESOUTPH1,S2P4,2021,0.0
REGION1,SESOUTPH1,S3P1,2021,0.06437888198757764
REGION1,SESOUTPH1,S3P2,2021,0.3598804347826087
REGION1,SESOUTPH1,S3P3,2021,0.02430434782608696
REGION1,SESOUTPH1,S3P4,2021,0.0
REGION1,SESOUTPH1,S4P1,2021,0.007133437990580847
REGION1,SESOUTPH1,S4P2,2021,0.1528098901098901
REGION1,SESOUTPH1,S4P3,2021,0.0002142857142857143
REGION1,SESOUTPH1,S4P4,2021,0.0
REGION1,SISOUTPH1,S1P1,2021,0.001885714285714286
REGION1,SISOUTPH1,S1P2,2021,0.1867222222222222
REGION1,SISOUTPH1,S1P3,2021,0.0
REGION1,SISOUTPH1,S1P4,2021,0.0
REGION1,SISOUTPH1,S2P1,2021,0.03992701863354037
REGION1,SISOUTPH1,S2P2,2021,0.3913260869565217
REGION1,SISOUTPH1,S2P3,2021,0.004065217391304348
REGION1,SISOUTPH1,S2P4,2021,0.0
REGION1,SISOUTPH1,S3P1,2021,0.06189130434782608
REGION1,SISOUTPH1,S3P2,2021,0.4417152173913043
REGION1,SISOUTPH1,S3P3,2021,0.01197826086956522
REGION1,SISOUTPH1,S3P4,2021,0.0
REGION1,SISOUTPH1,S4P1,2021,0.01255259026687598
REGION1,SISOUTPH1,S4P2,2021,0.2758604395604396
REGION1,SISOUTPH1,S4P3,2021,5.21978021978022e-05
REGION1,SISOUTPH1,S4P4,2021,0.0
REGION1,SKSOUTPH1,S1P1,2021,0.003853968253968254
REGION1,SKSOUTPH1,S1P2,2021,0.1522811111111111
REGION1,SKSOUTPH1,S1P3,2021,0.0
REGION1,SKSOUTPH1,S1P4,2021,0.0
REGION1,SKSOUTPH1,S2P1,2021,0.05679192546583851
REGION1,SKSOUTPH1,S2P2,2021,0.3697663043478261
REGION1,SKSOUTPH1,S2P3,2021,0.001989130434782609
REGION1,SKSOUTPH1,S2P4,2021,0.0
REGION1,SKSOUTPH1,S3P1,2021,0.085222049689441
REGION1,SKSOUTPH1,S3P2,2021,0.4201391304347826
REGION1,SKSOUTPH1,S3P3,2021,0.007105978260869566
