REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,FRDSELH1,FRDS,1,2021,1.754385964912281
REGION1,FRHFCHPH1,FRHF,1,2021,2.32558
REGION1,FRHFSTPH1,FRHF,1,2021,2.32558
REGION1,FRBMCHPH1,FRBM,1,2021,3.25808997632202
REGION1,FRBMSTPH1,FRBM,1,2021,2.884249847109964
REGION1,FRWSCHPH1,FRWS,1,2021,3.25808997632202
REGION1,FRWSSTPH1,FRWS,1,2021,3.015762987012986
REGION1,FRGOCVPH1,FRGO,1,2021,10.0
REGION1,FRTIDH1,FRTI,1,2021,1.0
REGION1,FROCWVPH1,FROC,1,2021,1.0
REGION1,HRBFHPFH1,HRBF,1,2021,2.662337662337662
REGION1,HRBMCHPH1,HRBM,1,2021,3.25808997632202
REGION1,HRCOSTPH1,HRCO,1,2021,2.654557624437142
REGION1,HRHFCHPH1,HRHF,1,2021,2.32558
REGION1,HRHFSTPH1,HRHF,1,2021,2.32558
REGION1,HRNGCCPH1,HRNG,1,2021,1.754385964912281
REGION1,HRNGCHPH1,HRNG,1,2021,1.68936
REGION1,HRLICHPH1,HRLI,1,2021,2.43322
REGION1,HRBFCHPH1,HRBF,1,2021,3.25808997632202
REGION1,HRRGCHPH1,HRRG,1,2021,1.68936
REGION1,HRDSCHPH1,HRDS,1,2021,2.32558
REGION1,HRDSELH1,HRDS,1,2021,1.754385964912281
REGION1,HRGOCVPH1,HRGO,1,2021,10.0
REGION1,HUNUG2PH1,HUNU,1,2021,2.631578947368421
REGION1,HUCOCHPH1,HUCO,1,2021,2.43322
REGION1,HUCOSTPH1,HUCO,1,2021,2.654557624437142
REGION1,HULICHPH1,HULI,1,2021,2.43322
REGION1,HULIELH1,HULI,1,2021,2.702702702702703
REGION1,HUNGCCPH1,HUNG,1,2021,1.754385964912281
REGION1,HUNGCHPH1,HUNG,1,2021,1.68936
REGION1,HUBFCHPH1,HUBF,1,2021,3.25808997632202
REGION1,HUDGCHPH1,HUDG,1,2021,1.68936
REGION1,HUDGELH1,HUDG,1,2021,1.754385964912281
